id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,prima_valida,monto_valido,comision_valida,fecha_valida,ids_validos
819,2025-03-04,1881,11,6,1,10713.0,15.95,2410.69,True,True,True,True,True
836,2025-10-25,2473,28,4,3,97200.0,,44879.05,True,True,True,True,True
879,2025-02-25,2781,76,9,11,48784.0,73.85,41572.74,True,True,True,True,True
882,2025-07-14,1478,7,3,2,161512.0,339.75,260779.28,True,True,True,True,True
900,2025-08-04,1336,8,10,5,135671.0,113.33,225001.5,True,True,True,True,True
906,2025-04-12,343,47,2,12,1583.43,353.06,57993.95,True,True,True,True,True
955,2025-04-03,1676,30,3,12,97794.0,,66113.44,True,True,True,True,True
966,2025-12-04,2375,24,6,12,1032.51,103.06,193961.45,True,True,True,True,True
979,2025-07-12,1306,105,14,2,7960.0,,13816.88,True,True,True,True,True
997,2025-12-21,1248,51,14,4,22938.0,56.54,36697.87,True,True,True,True,True
998,2025-04-30,928,72,7,4,159268.0,,34820.96,True,True,True,True,True
1003,2025-02-17,2670,23,8,8,1637.64,320.4,280930.95,True,True,True,True,True
1014,2025-09-16,1236,78,8,6,799.9,95.2,149053.6,True,True,True,True,True
1016,2026-01-07,2088,32,10,8,1060.94,55.62,184294.87,True,True,True,True,True
1030,2025-07-21,1920,45,6,5,92101.0,,135943.27,True,True,True,True,True
1038,2025-11-26,400,80,10,7,147037.0,259.13,88295.75,True,True,True,True,True
1044,2025-05-16,2156,20,7,3,90425.0,209.02,54421.46,True,True,True,True,True
1065,2025-12-03,2527,17,6,6,198919.0,459.36,311684.97,True,True,True,True,True
1068,2025-09-06,1184,59,7,4,190766.0,460.53,362277.16,True,True,True,True,True
1099,2025-08-29,2966,21,7,2,100527.0,237.75,161375.41,True,True,True,True,True
1156,2025-01-31,1585,9,5,7,10749.0,,7081.97,True,True,True,True,True
1178,2025-10-05,3761,8,10,10,1.48883,,65791.73,True,True,True,True,True
1181,2025-01-01,1466,64,5,4,41224.0,,16238.21,True,True,True,True,True
1184,2025-01-10,2557,50,5,4,123651.0,151.82,212721.14,True,True,True,True,True
1195,2026-01-20,2882,5,10,7,1511.44,,67099.49,True,True,True,True,True
1205,2025-08-07,218,40,10,8,82903.0,,87169.07,True,True,True,True,True
1217,2025-01-11,292,63,4,2,1563.64,160.18,73871.74,True,True,True,True,True
1264,2025-04-18,609,80,10,7,99807.0,,167810.75,True,True,True,True,True
1282,2025-11-07,182,77,11,1,132705.0,231.46,113779.99,True,True,True,True,True
1290,2025-10-15,726,80,6,7,1876.63,,59128.32,True,True,True,True,True
1340,2026-01-20,1374,22,13,3,62378.0,,90183.07,True,True,True,True,True
1351,2025-02-16,1869,10,14,4,177507.0,,338913.02,True,True,True,True,True
1369,2025-11-06,2599,20,11,1,194773.0,,333898.58,True,True,True,True,True
1395,2025-01-04,22,9,9,11,1.38848,71.57,156142.96,True,True,True,True,True
1410,2025-09-13,2934,80,8,9,112076.0,277.51,92953.74,True,True,True,True,True
1449,2025-05-01,31,24,9,5,16000.0,12.62,17670.8,True,True,True,True,True
1480,2025-03-22,1914,33,15,1,141628.0,96.23,195234.95,True,True,True,True,True
1528,2025-01-11,2563,44,1,8,1.51843,,292610.75,True,True,True,True,True
1588,2025-05-19,844,12,15,3,1.37668,310.93,64519.62,True,True,True,True,True
1604,2025-11-03,354,16,9,7,36722.0,,40366.29,True,True,True,True,True
1624,2025-10-03,1738,48,14,10,92734.0,169.45,71920.47,True,True,True,True,True
1629,2025-04-07,2806,11,6,12,599.97,,43706.84,True,True,True,True,True
1657,2026-01-31,3761,14,8,2,1584.59,,140017.68,True,True,True,True,True
1664,2025-01-29,1538,15,2,6,642.6,,128326.78,True,True,True,True,True
1680,2025-07-27,1422,72,2,2,199604.0,,311938.91,True,True,True,True,True
1686,2025-09-24,1913,9,7,7,42851.0,73.83,64001.48,True,True,True,True,True
1691,2025-02-16,1649,50,5,4,197669.0,360.58,108066.89,True,True,True,True,True
1713,2025-03-25,413,51,13,12,1487.63,,238195.71,True,True,True,True,True
1717,2025-12-28,571,120,1,11,1.77876,,147489.3,True,True,True,True,True
1749,2025-12-26,1495,73,14,10,95181.0,,49431.88,True,True,True,True,True
1764,2025-12-30,1330,14,10,4,42439.0,,69369.92,True,True,True,True,True
1775,2025-06-17,2921,52,1,12,31084.0,67.6,19315.0,True,True,True,True,True
1800,2025-07-14,1029,67,11,8,326.35,32.0,51097.71,True,True,True,True,True
1810,2025-04-15,894,60,4,11,630.22,,65686.43,True,True,True,True,True
1832,2025-12-23,662,77,7,8,101978.0,151.25,78262.43,True,True,True,True,True
1833,2025-08-03,1639,30,4,5,41030.0,62.54,10767.82,True,True,True,True,True
1843,2026-02-15,2054,73,11,4,131701.0,73.74,53666.7,True,True,True,True,True
1850,2025-07-12,2349,79,5,9,527.38,,59201.58,True,True,True,True,True
1868,2026-02-11,2906,70,11,2,16319.0,11.21,31636.45,True,True,True,True,True
1871,2026-01-24,1159,62,4,1,1784.93,,215267.86,True,True,True,True,True
1884,2025-06-27,333,72,15,11,124.17,26.92,20466.14,True,True,True,True,True
1891,2025-04-26,588,63,2,5,79265.0,94.91,57831.15,True,True,True,True,True
1894,2025-01-13,1335,12,5,4,1335.82,,68993.54,True,True,True,True,True
1909,2025-04-19,1225,39,13,7,1.07048,,21793.61,True,True,True,True,True
1912,2025-01-05,2668,72,5,2,1.43321,344.96,88369.28,True,True,True,True,True
1926,2025-08-28,2109,41,9,1,41930.0,,57025.51,True,True,True,True,True
1928,2025-09-21,14,4,5,2,549.57,,30152.71,True,True,True,True,True
1946,2025-12-13,1224,53,12,2,8568.0,16.13,7710.95,True,True,True,True,True
1959,2025-03-28,1978,66,5,12,19064.0,41.81,26704.85,True,True,True,True,True
1985,2025-06-06,2629,15,5,5,31428.0,19.25,35000.73,True,True,True,True,True
1991,2025-07-17,366,77,7,3,22074.0,18.55,43252.05,True,True,True,True,True
2000,2025-08-09,1491,73,13,6,118187.0,,29112.33,True,True,True,True,True
2002,2025-02-17,1583,61,3,8,15429.0,12.19,11208.34,True,True,True,True,True
2022,2025-10-25,443,32,14,12,185725.0,,368693.78,True,True,True,True,True
2047,2025-10-05,2004,61,4,12,193532.0,,47796.85,True,True,True,True,True
2058,2026-01-12,719,63,5,11,33969.0,83.67,44824.5,True,True,True,True,True
2064,2025-05-07,2690,75,6,12,37184.0,42.59,25141.34,True,True,True,True,True
2071,2026-02-11,2424,55,6,12,117350.0,,44741.52,True,True,True,True,True
2084,2025-09-01,160,9,6,11,37798.0,75.16,54240.77,True,True,True,True,True
2108,2025-02-06,1176,35,14,12,143205.0,106.29,178029.64,True,True,True,True,True
2111,2025-12-29,2730,49,7,12,807.04,,32303.05,True,True,True,True,True
2113,2025-08-06,253,4,8,5,1055.65,247.32,182688.17,True,True,True,True,True
2117,2025-06-07,2005,3,2,11,204.93,13.67,11360.18,True,True,True,True,True
2132,2025-05-03,1018,47,11,11,509.62,,68155.35,True,True,True,True,True
2146,2025-02-11,2538,48,8,10,1348.48,,164157.44,True,True,True,True,True
2153,2025-07-01,1177,69,9,2,145835.0,283.24,158384.3,True,True,True,True,True
2165,2025-08-13,577,36,3,1,98087.0,95.14,189390.39,True,True,True,True,True
2171,2025-05-25,14,36,15,7,78702.0,43.71,24744.99,True,True,True,True,True
2184,2025-08-03,1071,35,3,4,1.32937,315.07,153324.29,True,True,True,True,True
2217,2026-01-02,2213,41,15,9,179335.0,191.21,96108.85,True,True,True,True,True
2240,2025-08-24,2338,50,10,4,1.25081,,88214.75,True,True,True,True,True
2243,2025-11-09,2954,70,11,11,157.99,29.32,6262.35,True,True,True,True,True
2244,2025-06-06,1758,4,4,7,1.75911,159.27,88677.1,True,True,True,True,True
2252,2026-02-14,15,51,4,6,60399.0,,74420.02,True,True,True,True,True
2279,2025-01-11,1133,58,12,4,34706.0,51.42,66930.23,True,True,True,True,True
2337,2025-08-14,939,5,10,1,69086.0,,118345.74,True,True,True,True,True
2343,2025-11-13,241,76,12,4,1.40027,184.79,209277.57,True,True,True,True,True
2346,2025-08-20,444,63,6,7,78692.0,146.68,60136.83,True,True,True,True,True
2381,2026-01-19,1579,38,14,12,156168.0,,291076.59,True,True,True,True,True
2394,2025-11-12,2198,66,15,10,177274.0,336.14,216414.91,True,True,True,True,True
2398,2025-05-31,1853,72,3,1,14324.0,12.65,19956.82,True,True,True,True,True
2449,2025-07-17,319,26,7,9,412.01,92.98,80772.99,True,True,True,True,True
2452,2025-04-06,146,39,1,7,169041.0,,289283.89,True,True,True,True,True
2468,2025-07-12,1253,6,12,1,85460.0,,33393.55,True,True,True,True,True
2552,2025-05-20,904,41,15,12,1516.66,,179053.33,True,True,True,True,True
2566,2025-01-05,816,59,7,1,183696.0,309.39,230589.2,True,True,True,True,True
2661,2026-01-31,2046,41,2,2,126747.0,197.35,221361.08,True,True,True,True,True
2679,2025-11-24,2683,74,14,5,163842.0,395.88,222861.58,True,True,True,True,True
2680,2025-04-03,3710,28,2,6,1.28019,229.44,48994.84,True,True,True,True,True
2690,2025-09-15,1113,17,14,7,176472.0,,329827.71,True,True,True,True,True
2692,2025-07-21,2001,8,13,10,61434.0,,59376.03,True,True,True,True,True
2706,2025-07-02,1735,62,8,11,160473.0,285.5,86340.91,True,True,True,True,True
2711,2025-11-27,807,33,10,3,1.38827,127.91,188932.31,True,True,True,True,True
2732,2025-04-25,1292,29,7,1,86701.0,130.12,164699.99,True,True,True,True,True
2738,2025-02-11,3721,80,15,8,140584.0,,159373.81,True,True,True,True,True
2778,2026-02-05,1497,30,4,11,1377.83,283.22,27599.11,True,True,True,True,True
2784,2025-10-23,2284,32,2,12,23617.0,46.36,18551.71,True,True,True,True,True
2793,2025-02-28,2716,73,12,1,53922.0,,66540.17,True,True,True,True,True
2836,2025-02-02,1064,28,7,5,88800.0,145.35,131733.7,True,True,True,True,True
2844,2025-11-21,213,49,14,4,1.23045,,140747.22,True,True,True,True,True
2893,2025-07-22,2997,77,2,8,131417.0,113.54,130116.17,True,True,True,True,True
2931,2025-07-13,1005,75,11,1,7538.0,,2893.7,True,True,True,True,True
2954,2025-09-21,2667,15,14,1,69414.0,158.53,118657.32,True,True,True,True,True
2958,2025-12-17,934,50,2,9,1548.62,190.73,196445.78,True,True,True,True,True
2960,2025-04-27,685,73,1,1,1.58579,318.31,233027.76,True,True,True,True,True
2967,2025-01-05,2198,46,2,2,297.8,42.57,54508.11,True,True,True,True,True
2981,2025-02-25,1010,73,4,5,1856.85,189.37,259330.79,True,True,True,True,True
3018,2025-03-19,2053,72,1,11,49499.0,,10154.67,True,True,True,True,True
3038,2025-09-08,309,47,8,8,50275.0,37.5,53512.46,True,True,True,True,True
3041,2025-12-03,2238,59,6,11,109555.0,100.53,156740.15,True,True,True,True,True
3057,2025-01-29,1351,44,7,8,1540.86,127.78,66335.26,True,True,True,True,True
3100,2025-12-17,1070,36,15,3,142043.0,127.12,30257.1,True,True,True,True,True
3113,2025-11-16,231,46,4,1,561.34,,88985.96,True,True,True,True,True
3154,2025-12-26,1172,74,13,5,439.21,,13710.21,True,True,True,True,True
3160,2026-01-03,71,14,13,11,432.2,,70611.7,True,True,True,True,True
3178,2025-04-11,181,20,13,3,433.64,,28166.77,True,True,True,True,True
3181,2025-06-01,2429,59,6,2,138789.0,301.61,176677.66,True,True,True,True,True
3227,2025-07-22,349,63,3,9,156517.0,120.8,42629.09,True,True,True,True,True
3256,2026-01-28,1962,45,6,9,566.45,,76124.17,True,True,True,True,True
3264,2025-10-29,903,36,10,7,220.11,49.64,20091.47,True,True,True,True,True
3284,2025-09-10,789,76,3,7,1.65876,209.8,322345.02,True,True,True,True,True
3302,2025-03-26,2807,3,5,9,1.42932,,244181.84,True,True,True,True,True
3303,2025-08-01,2403,72,11,4,39660.0,93.07,65779.47,True,True,True,True,True
3331,2025-05-03,1047,11,4,6,124963.0,187.38,35164.44,True,True,True,True,True
3401,2025-06-11,956,28,5,12,1993.12,,298022.21,True,True,True,True,True
3407,2025-02-21,2444,73,10,8,1403.46,,119815.43,True,True,True,True,True
3443,2026-02-05,1745,20,1,7,179171.0,211.84,193915.09,True,True,True,True,True
3483,2025-12-23,1982,36,1,12,272.99,,50990.24,True,True,True,True,True
3524,2025-10-24,2891,34,5,8,1872.48,,324411.61,True,True,True,True,True
3526,2025-07-14,3550,21,9,10,1340.82,219.98,168637.17,True,True,True,True,True
3543,2025-08-11,1190,79,5,3,87.61,19.64,8771.13,True,True,True,True,True
3544,2025-09-13,736,55,9,3,1.91112,395.92,158755.95,True,True,True,True,True
3549,2025-11-14,322,18,6,8,49438.0,87.53,25003.36,True,True,True,True,True
3559,2026-02-06,1268,30,7,3,11700.0,,20065.73,True,True,True,True,True
3568,2025-05-18,894,42,12,1,159639.0,,284746.75,True,True,True,True,True
3578,2025-12-24,3630,18,14,11,1.60914,,222228.27,True,True,True,True,True
3580,2026-02-05,2983,16,2,9,62424.0,130.01,57020.38,True,True,True,True,True
3596,2025-11-01,1848,53,5,5,45371.0,30.69,22638.39,True,True,True,True,True
3597,2025-03-28,742,37,2,5,1829.5,117.98,214088.95,True,True,True,True,True
3605,2025-08-15,1366,59,12,9,6535.0,,7939.97,True,True,True,True,True
3658,2025-10-03,628,31,3,11,0.0,126.13,313310.72,True,True,True,True,True
3667,2025-09-14,2967,39,12,12,173447.0,,107767.82,True,True,True,True,True
3726,2025-03-16,1755,79,5,2,176640.0,,63517.15,True,True,True,True,True
3735,2025-10-11,2519,15,8,7,466.03,,22139.11,True,True,True,True,True
3757,2025-09-10,2805,15,5,10,202.53,27.61,18433.27,True,True,True,True,True
3761,2025-12-01,2524,63,2,3,27453.0,,22917.36,True,True,True,True,True
3790,2025-03-23,673,18,6,5,63752.0,146.91,87363.25,True,True,True,True,True
3803,2025-05-24,397,41,8,5,1.89488,,128220.88,True,True,True,True,True
3821,2025-12-18,2217,50,14,12,72625.0,38.91,124016.12,True,True,True,True,True
3827,2026-01-24,744,19,1,9,127857.0,87.31,182729.7,True,True,True,True,True
3828,2025-02-17,536,66,5,1,1569.26,333.87,171362.99,True,True,True,True,True
3838,2026-02-04,453,57,8,6,96622.0,213.68,164970.33,True,True,True,True,True
3851,2025-11-23,313,72,6,2,1740.5,,279212.72,True,True,True,True,True
3855,2025-05-21,1070,35,11,5,5086.0,7.2,2204.66,True,True,True,True,True
3859,2025-07-17,1747,12,1,3,1.52584,,223031.86,True,True,True,True,True
3862,2025-03-04,1960,7,14,11,1393.89,186.08,259479.61,True,True,True,True,True
3866,2025-02-04,916,22,2,5,1.38036,,146267.82,True,True,True,True,True
3875,2025-10-03,1343,2,15,5,196931.0,416.27,342612.29,True,True,True,True,True
3898,2025-09-05,987,36,12,8,61838.0,53.87,20572.35,True,True,True,True,True
3915,2025-10-18,1949,28,1,2,64427.0,,23958.86,True,True,True,True,True
3935,2025-04-04,126,34,15,4,0.0,,92172.37,True,True,True,True,True
3947,2025-03-16,282,41,8,3,183703.0,,122260.44,True,True,True,True,True
3953,2025-03-19,1168,41,1,8,794.33,86.06,73617.04,True,True,True,True,True
3968,2025-05-22,2164,37,3,10,157439.0,,189744.83,True,True,True,True,True
3972,2025-07-13,625,26,11,6,1.95975,,304054.11,True,True,True,True,True
3995,2025-04-29,1946,69,10,5,167873.0,,286442.34,True,True,True,True,True
4005,2025-10-21,1622,3,9,8,1.7925,308.47,235914.45,True,True,True,True,True
4035,2025-05-16,504,43,4,6,64309.0,98.94,34605.23,True,True,True,True,True
4036,2025-06-23,2253,22,1,10,522.04,62.1,37862.14,True,True,True,True,True
4049,2025-10-01,2775,47,1,2,56014.0,86.84,57233.59,True,True,True,True,True
4054,2025-03-20,2390,47,11,12,794.36,,19441.91,True,True,True,True,True
4057,2026-01-07,2413,70,6,2,29461.0,38.46,43710.54,True,True,True,True,True
4102,2025-03-25,1797,71,1,9,176519.0,91.92,213878.48,True,True,True,True,True
4112,2025-10-19,339,66,11,3,1.72758,380.02,336182.44,True,True,True,True,True
4117,2025-07-02,930,61,7,7,26343.0,18.89,45751.81,True,True,True,True,True
4122,2025-01-07,945,45,8,5,53280.0,,77743.62,True,True,True,True,True
4123,2025-04-26,9,34,15,1,95186.0,67.51,105297.07,True,True,True,True,True
4152,2026-02-15,1986,34,5,9,1738.8,293.4,206976.23,True,True,True,True,True
4177,2025-09-28,2872,53,11,12,75097.0,171.46,28036.76,True,True,True,True,True
4181,2026-02-15,607,33,2,6,1.47234,204.76,74159.91,True,True,True,True,True
4185,2025-09-17,2375,52,6,8,17518.0,17.99,31775.18,True,True,True,True,True
4189,2026-02-03,2099,32,7,8,1.22934,,49317.28,True,True,True,True,True
4191,2026-01-13,3733,32,5,3,1.34526,91.86,222321.43,True,True,True,True,True
4197,2025-10-23,2557,57,4,7,1.72599,,280209.76,True,True,True,True,True
4225,2025-07-25,1530,65,6,6,148625.0,301.26,266496.34,True,True,True,True,True
4264,2026-01-12,2761,74,7,2,1.37084,1794.89,37333.58,True,True,True,True,True
4306,2025-07-28,2473,80,4,8,1903.17,,189443.7,True,True,True,True,True
4340,2026-02-01,1827,80,14,4,1.33897,313.77,182955.91,True,True,True,True,True
4352,2025-08-25,105,6,13,1,158374.0,,281517.34,True,True,True,True,True
4391,2025-02-12,1172,2,2,10,149.96,,26632.11,True,True,True,True,True
4442,2025-10-03,571,30,2,7,69868.0,,66684.93,True,True,True,True,True
4444,2025-05-06,186,41,4,11,107897.0,,114795.75,True,True,True,True,True
4463,2025-12-12,2286,64,7,6,1.28812,,154609.56,True,True,True,True,True
4498,2025-12-18,1831,55,15,12,117205.0,,170045.89,True,True,True,True,True
4609,2025-01-29,1548,36,13,9,1.6484,131.42,92362.01,True,True,True,True,True
4660,2026-02-04,676,73,5,11,27215.0,,53236.45,True,True,True,True,True
4682,2025-02-28,948,31,12,10,313.26,41.86,35741.27,True,True,True,True,True
4703,2025-01-18,89,69,15,10,165349.0,178.22,286372.63,True,True,True,True,True
4711,2025-07-11,438,36,6,9,82074.0,87.33,141608.12,True,True,True,True,True
4731,2026-01-14,2338,80,11,6,82807.0,206.4,78217.76,True,True,True,True,True
4737,2025-03-21,382,63,12,11,36074.0,69.1,9554.15,True,True,True,True,True
4752,2025-09-30,511,47,12,3,1000.38,,166529.54,True,True,True,True,True
4767,2025-07-26,2511,10,11,9,58228.0,,42533.5,True,True,True,True,True
4788,2026-01-10,1980,43,8,6,32785.0,65.22,13081.23,True,True,True,True,True
4789,2025-04-23,784,55,8,4,145964.0,128.13,49174.92,True,True,True,True,True
4795,2025-03-27,2264,1,11,5,43491.0,86.97,84670.06,True,True,True,True,True
4815,2025-03-07,1892,4,8,10,70693.0,168.16,35279.73,True,True,True,True,True
4832,2025-02-28,2813,17,9,6,1.34957,,203754.28,True,True,True,True,True
4843,2025-09-29,1339,15,9,9,73398.0,64.24,65329.87,True,True,True,True,True
4850,2025-07-17,482,9,1,7,146489.0,173.38,200070.49,True,True,True,True,True
4862,2025-10-13,405,2,3,2,97.3,,11085.56,True,True,True,True,True
4873,2026-01-12,1987,32,6,10,75244.0,38.98,52485.24,True,True,True,True,True
4882,2025-02-08,1771,13,7,7,16390.0,36.13,21008.78,True,True,True,True,True
4889,2025-11-10,2805,80,9,2,102652.0,155.17,66073.89,True,True,True,True,True
4894,2025-10-27,1531,52,2,6,20505.0,35.24,6577.21,True,True,True,True,True
4909,2026-01-08,2747,67,13,9,41172.0,67.37,73299.25,True,True,True,True,True
4966,2025-04-19,1114,12,4,1,89989.0,83.88,142753.97,True,True,True,True,True
4974,2025-09-15,2851,51,5,11,134542.0,273.31,73654.63,True,True,True,True,True
5036,2025-05-25,822,51,14,6,1873.32,273.59,75187.56,True,True,True,True,True
5041,2025-03-23,397,66,10,5,179595.0,125.14,219413.86,True,True,True,True,True
5043,2025-08-25,952,20,13,6,18961.0,21.64,13520.98,True,True,True,True,True
5048,2025-10-30,324,53,11,7,1.33624,293.25,39889.27,True,True,True,True,True
5050,2025-08-22,431,66,2,11,7991.0,9.97,10916.37,True,True,True,True,True
5051,2025-06-29,2639,48,6,7,933.35,172.37,28994.07,True,True,True,True,True
5095,2025-02-18,360,23,6,7,1.61352,,190345.33,True,True,True,True,True
5137,2025-09-03,1651,23,6,7,143677.0,127.3,29498.77,True,True,True,True,True
5141,2025-12-10,1294,72,11,10,156944.0,368.37,207627.95,True,True,True,True,True
5155,2025-07-23,2865,62,4,1,1.29397,108.71,79187.21,True,True,True,True,True
5207,2025-01-29,872,60,8,4,1.42642,,45672.79,True,True,True,True,True
5211,2025-12-08,124,70,5,5,614.34,34.66,34193.83,True,True,True,True,True
5214,2025-04-28,1992,35,1,5,11513.0,15.01,15728.26,True,True,True,True,True
5242,2025-09-28,290,47,7,5,51128.0,86.21,25730.85,True,True,True,True,True
5255,2025-07-09,2244,6,11,9,162.15,18.89,22699.79,True,True,True,True,True
5265,2026-02-03,2250,37,14,8,184528.0,,139855.03,True,True,True,True,True
5287,2025-01-12,377,74,11,10,882.7,121.67,65495.31,True,True,True,True,True
5314,2025-06-26,2450,49,11,3,70682.0,90.61,52421.46,True,True,True,True,True
5316,2025-03-20,1142,56,5,8,0.0,73.2,188719.2,True,True,True,True,True
5324,2025-09-15,917,6,4,8,70857.0,,54270.67,True,True,True,True,True
5326,2025-11-27,603,68,14,10,185433.0,,219116.93,True,True,True,True,True
5328,2025-10-21,1361,80,7,7,137551.0,284.33,83623.39,True,True,True,True,True
5338,2025-05-22,2651,79,8,8,819.83,123.01,34516.38,True,True,True,True,True
5340,2025-08-14,2780,14,7,1,1.16618,228.29,176765.63,True,True,True,True,True
5351,2025-04-22,726,24,14,10,154693.0,115.46,269453.1,True,True,True,True,True
5367,2025-07-03,965,80,8,12,86800.0,94.76,39320.47,True,True,True,True,True
5416,2025-08-20,1712,64,13,1,1.77744,,338405.27,True,True,True,True,True
5425,2025-07-19,2714,61,3,3,61785.0,154.34,108003.39,True,True,True,True,True
5427,2025-06-22,2608,64,8,7,122323.0,151.95,233552.98,True,True,True,True,True
5428,2025-06-05,217,15,11,3,49372.0,62.59,43678.77,True,True,True,True,True
5436,2025-06-11,910,66,12,12,378.88,81.61,67722.39,True,True,True,True,True
5448,2026-02-19,1035,4,11,9,1628.22,,58727.83,True,True,True,True,True
5450,2025-10-04,712,37,9,8,92503.0,,175356.21,True,True,True,True,True
5468,2025-11-04,1554,26,5,2,144721.0,,221805.76,True,True,True,True,True
5489,2025-09-20,1979,36,14,8,41864.0,,28205.23,True,True,True,True,True
5491,2025-09-02,2198,8,1,2,47667.0,72.74,40550.98,True,True,True,True,True
5502,2025-04-05,1176,17,7,5,144814.0,,164660.51,True,True,True,True,True
5522,2025-11-29,3665,23,12,6,1161.47,,199513.01,True,True,True,True,True
5541,2025-03-30,2569,76,12,9,9435.0,17.65,16552.28,True,True,True,True,True
5556,2025-10-07,736,9,8,8,99103.0,,128657.95,True,True,True,True,True
5566,2025-03-17,2485,48,13,10,1.33681,,146670.38,True,True,True,True,True
5579,2025-10-16,208,70,11,10,139176.0,334.79,257068.0,True,True,True,True,True
5604,2025-05-07,648,42,6,1,1324.1,275.52,107396.46,True,True,True,True,True
5630,2025-07-22,2887,24,9,9,198652.0,,157056.6,True,True,True,True,True
5644,2026-01-31,988,41,6,10,1.25274,302.5,25250.04,True,True,True,True,True
5665,2025-05-28,2369,2,10,12,152628.0,91.35,35685.26,True,True,True,True,True
5670,2026-01-15,3603,41,6,2,191181.0,387.13,163649.66,True,True,True,True,True
5677,2025-06-15,778,69,8,8,38042.0,42.7,74677.15,True,True,True,True,True
5683,2026-01-19,2121,36,15,11,176560.0,137.86,80379.65,True,True,True,True,True
5734,2025-10-15,2784,66,8,5,34039.0,,23247.91,True,True,True,True,True
5792,2025-07-27,1492,65,13,3,0.0,110.03,257939.36,True,True,True,True,True
5800,2025-07-06,573,53,6,3,73818.0,84.74,83686.1,True,True,True,True,True
5810,2025-11-19,719,23,8,12,1.99365,126.87,318555.97,True,True,True,True,True
5849,2025-05-23,2449,59,12,8,1.1528,122.65,160433.13,True,True,True,True,True
