id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
191,23374,13-06-2025,14690.50,Cerrado
192,24819,07-12-2025,"764,29",ABIERTO
193,19056,02-12-2025,,ABIERTO
194,13685,2026-02-08,8942.15,ABIERTO
195,3021,22/02/2026,1043.99,Rechazado
196,4434,11/03/2025,"1,158.74",cerrado
197,5812,2025/07/08,"12.806,56",
198,3833,2025-08-18,"9.016,27",Rechazado
199,15158,2025/09/12,-,ABIERTO
200,8648,24-03-2025, 6486.31 ,Cerrado
201,10253,2026/01/01,N/A,
202,6793,30-08-2025,,Cerrado
203,21133,2025/07/10, 4564.31 ,Rechazado
204,11440,2025-01-28,,Rechazado
205,15065,09/02/2026,"14,726.41",Cerrado
206,5583,04-03-2025, 11554.34 ,cerrado
207,10666,2025/03/09,"10,303.63",ABIERTO
208,5006,2025/05/24,"4.504,93",cerrado
209,16837,20/08/2025,11810.11,
210,14034,08-20-25,"12.036,08",cerrado
211,18427,18-12-2025,"6.967,73",Cerrado
212,14352,05-18-25,"8.847,32",
213,1279,07-02-2025,"13.118,01",Rechazado
214,16890,2026-01-25,"2,780.04",ABIERTO
215,13337,02-08-2025, 14527.75 ,ABIERTO
216,8726,2025/07/23,"4.346,45",
217,14431,2025/09/27,"2.510,93",Abierto
218,5896,27-10-2025, 10531.67 ,cerrado
219,25727,02-04-26,,Cerrado
220,2535,2025/12/19,"5.001,06",Abierto
221,2986,2025-02-12,9139.78,Cerrado
222,13632,05-06-25, 14814.18 ,cerrado
223,2629,08-10-25,"3.642,77",
224,19260,14/02/2026,"5,466.39",Abierto
225,19366,2025/05/20,851.04,
226,12950,08-05-25,"2,683.64",cerrado
227,2933,17-10-2025, 5919.45 ,Cerrado
228,9398,09-26-25,-,Abierto
229,16087,2025/06/11,"5.957,36",Cerrado
230,19159,09/01/2025,"1,517.87",cerrado
231,16670,2025-09-17, 12582.50 ,Rechazado
232,3014,03-07-25,9726.96,Cerrado
233,11033,04/03/2025,9170.56,ABIERTO
234,16501,04/10/2025,-,
235,23798,2025/07/10,"10,657.43",Abierto
236,22678,11-11-2025,N/A,ABIERTO
237,24184,2025-07-13,"13,713.94",
238,19973,2025-08-01,N/A,Rechazado
239,22979,2025/11/05,-,Cerrado
240,15810,03-10-25,N/A,Rechazado
241,20874,29-01-2025,"5,212.81",cerrado
242,10437,03/06/2025, 14596.52 ,Rechazado
243,9965,2025-02-27, 4275.37 ,
244,3256,2025-07-09,N/A,ABIERTO
245,5447,20/08/2025,"14.464,74",Abierto
246,11329,2025-01-10,11681.88,ABIERTO
247,23410,2025/04/29, 8598.25 ,
248,11871,25/01/2026,804.82,cerrado
249,18003,08-02-25,14986.14,
250,2158,05-20-25,,ABIERTO
251,21022,18-07-2025,,Rechazado
252,2267,01-11-25,12762.64,ABIERTO
253,1765,2026/01/31,10785.64,Abierto
254,22116,03-14-25,"5,059.14",Cerrado
255,24181,09-02-2025,"3,638.10",
256,1939,2025-11-03, 7149.72 ,
257,15563,04-27-25,7905.89,cerrado
258,7251,2025/09/04,"359,56",Abierto
259,19809,21/09/2025,10058.57,Cerrado
260,17781,03-11-25, 14206.04 ,
261,9851,2025-12-31,"1,092.58",Rechazado
262,17232,27/02/2025,,ABIERTO
263,6744,2025/05/06,"8.228,53",ABIERTO
264,13686,09/10/2025,N/A,ABIERTO
265,217,12-11-25,"3,763.55",ABIERTO
266,18359,22/07/2025,"11.326,78",Rechazado
267,13995,2025/09/08, 6273.55 ,
268,18702,11/03/2025,5803.93,Abierto
269,20302,2025-11-29,"12,935.03",
270,21104,2025-08-28, 8284.25 ,ABIERTO
271,16423,06/10/2025,"12.531,38",
272,11306,2025/10/12,"6,748.93",ABIERTO
273,14467,03-20-25,2855.89,Abierto
274,22521,09/12/2025,6246.09,
275,19524,09-13-25,10334.68,Abierto
276,24025,07-21-25,12873.15,Cerrado
277,4835,2025/11/21,"10,216.40",
278,12350,02-02-26,"2,215.15",
279,8178,30/05/2025,10418.51,Rechazado
280,3145,2025-08-11,"2.935,10",
281,22881,14-11-2025,197.86,Cerrado
282,11387,07-02-25,5370.01,cerrado
283,17276,2025-04-06, 8841.01 ,
284,4685,2025-01-05,"11,406.08",Abierto
285,17418,2025/04/10, 5091.35 ,Abierto
286,14149,2025/05/29,"7.311,29",Abierto
287,17519,2025/11/22,"2.869,86",Rechazado
288,19817,01-22-25,"2.321,09",Abierto
289,2525,01-20-25,6583.18,Cerrado
290,23857,07-23-25,"3,302.24",Cerrado
291,367,2025/12/04, 9606.53 ,
292,15112,01-10-2025,2486.04,cerrado
293,10362,24/09/2025,"8.077,52",
294,21932,01-02-26, 9926.07 ,Abierto
295,11353,06/11/2025,566.00,ABIERTO
296,2362,11-01-2026,-,Rechazado
297,7821,2025/12/09,"3.566,43",cerrado
298,6809,2025/10/20, 1486.47 ,
299,11447,08-02-2026,"14,867.64",cerrado
300,13999,02-23-25,331.95,Abierto
301,19710,2025/08/08,"1.424,02",Cerrado
302,22748,2025/12/04,5352.07,
303,1719,2025/11/14,-,ABIERTO
304,2036,21/02/2025, 8381.86 ,cerrado
305,13740,2025-12-25,,Abierto
306,11979,24/05/2025, 3782.57 ,
307,9896,19/02/2026, 9098.49 ,
308,15831,06-07-2025, 4383.22 ,
309,22223,2025/04/03,"11.939,28",Cerrado
310,18660,2025-11-24, 7735.22 ,
311,16425,02-05-2025,10081.65,Cerrado
312,15669,05-02-2026,"2,986.38",Abierto
313,12886,03-26-25,-,ABIERTO
314,6169,08-08-2025,,Cerrado
315,6480,28-10-2025,13359.79,Rechazado
316,19243,2025-11-19, 2098.28 ,
317,7504,06-12-2025,"6,038.60",
318,18504,12-17-25,14001.50,Cerrado
319,4709,2025/07/17,-,cerrado
320,17508,2025/10/31,"8.640,45",ABIERTO
321,15003,2025/10/22,4359.69,ABIERTO
322,19178,2025-12-08,"10,770.63",ABIERTO
323,17082,11/05/2025,"11,204.61",
324,4083,18-03-2025, 10678.85 ,Cerrado
325,25648,14-11-2025,"-12.908,94",
326,6507,11-06-2025,6243.40,
327,8526,17/05/2025, 13905.74 ,Rechazado
328,19746,2025/03/11,6693.43,Abierto
329,23344,2025/01/08,10541.76,Abierto
330,13177,09-03-2025,-,
331,16704,2025/08/12,N/A,
332,20787,17-05-2025,11131.22,ABIERTO
333,21160,2025/11/26,"6.116,37",Abierto
334,12046,2025/04/03,2537.12,ABIERTO
335,12406,05/04/2025, 319.52 ,Cerrado
336,23055,29-12-2025,,
337,15288,2025/02/20,"4.485,08",
338,13062,2025-08-16,-,
339,8768,25/01/2025,2863.49,Abierto
340,4853,11-16-25,"8.016,06",ABIERTO
341,21940,23/03/2025,"11.851,07",
342,5070,11-22-25, 6723.23 ,
343,25543,2025-07-21,"4.564,30",cerrado
344,9611,2025-02-22, 2147.03 ,cerrado
345,5702,08-30-25,10398.23,ABIERTO
346,16953,02-03-26,"14,629.39",cerrado
347,18616,07-13-25,N/A,cerrado
348,3786,09/02/2026,"3.564,35",
349,18539,11-27-25,"-4.684,76",Cerrado
350,7943,11-05-2025,10787.07,Cerrado
351,4779,2025/05/29,-,Cerrado
352,5401,09-11-2025,"14.262,99",Rechazado
353,21230,14-10-2025,N/A,Abierto
354,23874,2025/04/20,12544.63,Rechazado
355,23407,09-08-2025,-,cerrado
356,21703,01-08-2025,"3.463,49",ABIERTO
357,3742,2026/01/14,-,
358,5810,18-11-2025,"6,718.36",
359,12112,2025-10-26,2073.55,ABIERTO
360,24056,2025-09-20,7083.76,Rechazado
361,16268,07-17-25, 13927.17 ,ABIERTO
362,18426,04-19-25,N/A,ABIERTO
363,21311,04/02/2026,9959.61,Abierto
364,16748,24-08-2025,"7.756,38",
365,18228,17/11/2025, 13973.16 ,Cerrado
366,5844,02-02-2025,11212.65,cerrado
367,942,05-07-2025,"1,374.60",ABIERTO
368,14823,11-10-25, 1629.44 ,Abierto
369,15818,2025-02-14,434.28,ABIERTO
370,20114,14/02/2026,"5,559.03",ABIERTO
371,20612,12-02-2025,5087.67,Cerrado
372,941,2025-01-31, 10846.29 ,Abierto
373,16241,2026/02/16,"2,754.60",Cerrado
374,24381,07-27-25,N/A,Abierto
375,3784,02-21-25,"6.278,59",cerrado
376,18210,21-04-2025, 13180.58 ,
377,19938,2026-01-27,"-3,081.44",Abierto
378,4586,09/01/2025, 2051.08 ,Abierto
379,19394,2025/04/11,"4,337.43",cerrado
380,19177,20-11-2025,N/A,
381,18189,31/01/2026,,Cerrado
382,13149,2026/02/13, 5788.34 ,
383,3726,2026/02/08,-,Cerrado
384,16998,17-09-2025, 8268.60 ,Cerrado
385,3696,12/02/2026,2099.51,
386,20394,19-01-2026,N/A,
387,7121,16-03-2025,101.74,
388,8625,30/10/2025, 4076.28 ,
389,21668,01-31-26, 11042.25 ,ABIERTO
390,840,02-23-26, 10747.46 ,ABIERTO
391,24690,2025/01/25, 5736.62 ,
392,20920,2025/08/04,"1,035.65",cerrado
393,19824,11-11-25,,
394,7220,25-07-2025,"6.657,59",
395,990,11-06-2025, 924.16 ,ABIERTO
396,986,2025/10/23,"8,896.66",ABIERTO
397,22624,14/06/2025,"6,819.88",cerrado
398,10478,24/08/2025,"7,566.63",Abierto
399,1386,2025-04-06,1160.69,ABIERTO
400,6936,02-08-2025,"8.411,60",
401,12559,2025/01/26,,Rechazado
402,22663,29-04-2025,"11.363,64",
403,9469,01-30-26,"3.664,72",Cerrado
404,4048,2025/12/14,,
405,17081,2025/08/02,"13.445,95",Abierto
406,13593,31/05/2025,1225.41,cerrado
407,15499,07/02/2026,,ABIERTO
408,15018,02-19-26, 13987.17 ,
409,4598,2025/08/10,14385.55,ABIERTO
410,20008,06-09-25,"908,44",
411,15930,21/09/2025,-,Abierto
412,1661,01-05-2025,"12,937.82",Abierto
413,15474,2025-01-14,"11,665.10",cerrado
414,1039,28-11-2025,6928.26,
415,10705,2025-10-03,"4.372,08",
416,1066,2025/11/06,2268.69,Rechazado
417,24940,2025-06-20,"11,978.74",ABIERTO
418,19027,2025/02/20,-,Abierto
419,11189,19-07-2025,"6.286,41",Cerrado
420,15208,06-17-25, 14567.87 ,Rechazado
421,5615,09-23-25,"9.744,90",
422,9973,28/12/2025,"5,901.69",ABIERTO
423,11261,24/03/2025,-,Abierto
424,11599,2025/06/21,"2.656,34",Cerrado
425,6477,23/10/2025, 11168.31 ,ABIERTO
426,24821,2025-06-18,"9.786,35",Cerrado
427,19205,2026/01/05,"8.961,50",
428,20511,2025/09/12,"1.741,82",
429,10083,08-08-2025,"4.186,36",
430,9420,2025-03-07,"14,797.54",Rechazado
431,16556,2025/10/30,,Cerrado
432,3991,2026/02/07, 12934.03 ,Cerrado
433,13660,14/07/2025,4257.18,Rechazado
434,9923,03-19-25,"10,300.58",Cerrado
435,15659,02-15-25,N/A,
436,4058,2026/01/07,"13.142,69",
437,23431,14/08/2025, 9923.03 ,Rechazado
438,20439,2025-09-22,-,cerrado
439,23475,2025-01-03,N/A,
440,16397,2025/10/16,"8.359,38",Rechazado
441,22684,03/12/2025,10554.36,Rechazado
442,25876,03-10-25,"147,22",Rechazado
443,11757,27-06-2025, 7553.76 ,
444,23715,02-19-25,"2.748,13",
445,7801,27-01-2025,-,Rechazado
446,849,07-07-25, 966.15 ,
447,24783,16-05-2025,3775.66,
448,13756,2025/11/18,"8,492.99",Cerrado
449,10005,05-02-25,9876.19,Abierto
450,18661,05-11-25,"2,919.02",Rechazado
451,3111,30/03/2025,12498.73,Cerrado
452,1835,14-04-2025,6449.29,
453,14614,10-12-2025,"5.081,75",
454,18671,17/05/2025, 14655.73 ,
455,11674,22-05-2025,-,cerrado
456,6812,2026-02-24,"10.457,09",
457,4234,22-10-2025,N/A,Rechazado
458,22894,11-16-25,"13,379.41",
459,19084,2025/06/05,11662.90,
460,9557,2025-03-07,"11,367.71",
461,9517,27/10/2025,-,
462,1370,2025/02/25, 2238.16 ,Rechazado
463,1315,2025-05-23,"9.403,53",cerrado
464,7665,2025/08/23,"6,095.66",ABIERTO
465,4729,2025-10-15, 13763.87 ,Cerrado
466,19556,05-22-25,"929,56",cerrado
467,12477,2025-04-29,12448.85,Cerrado
468,7145,29/06/2025,"9,748.24",Rechazado
469,10808,30-12-2025,3705.92,
470,7885,12-18-25,9856.68,Cerrado
471,2155,12-01-2025, 5220.04 ,Abierto
472,4686,19/11/2025, 7740.48 ,Abierto
473,6110,02-02-2025,"14.439,69",Rechazado
474,12213,2025/05/04,-,
475,13039,2025-10-13,-,
476,4147,09/01/2025,,Rechazado
477,23464,01-02-26,"4.561,33",Rechazado
478,15010,27/01/2026,11687.78,Abierto
479,4770,2025/07/06,N/A,Cerrado
480,23674,2025-06-27,"192,04",
481,5991,08-25-25,,Rechazado
482,18388,03-11-2025,"2.624,10",Cerrado
483,1067,2025/07/27,"5.411,94",
484,10177,09-21-25, 9795.30 ,Rechazado
485,23236,2025-08-13,"9,341.17",
486,16519,2025-10-01,"4,527.06",Cerrado
487,21900,02-11-2025,"14.449,32",Abierto
488,7922,05-08-2025,-,Abierto
489,6169,06/07/2025,"10,359.49",cerrado
490,9596,2025-07-24,-6745.26,
491,10798,13/04/2025, 11866.01 ,cerrado
492,5514,05-07-2025, 13335.48 ,Cerrado
493,12637,24-01-2025,"13.814,68",
494,4271,12-09-2025,"11.207,50",Cerrado
495,3898,2025/10/29,"12.255,39",
496,9321,2025/08/23,"597,85",ABIERTO
497,17866,2026/01/28,"5,018.42",
498,16934,2025-09-29,"6.665,81",
499,4303,03-02-2026, 6686.39 ,Abierto
500,24173,03/07/2025,"6.633,52",Rechazado
501,1935,2025-03-01, 9456.55 ,Abierto
502,8758,02-01-2026,7272.53,Abierto
503,13990,2025/07/15,"4.634,32",cerrado
504,12911,02-07-26,"12,735.57",ABIERTO
505,9535,03-04-25,"13.921,33",Rechazado
506,23610,02/03/2025,-,
507,14126,01-26-26, 7410.93 ,
508,11505,2025-04-17,"4,336.27",
509,9632,24/01/2026, 11512.22 ,
510,24704,2025-05-08,N/A,Abierto
511,9290,01-30-25,2170.06,
512,25808,2025/04/28,"1,956.20",ABIERTO
513,19811,2025/09/01,,ABIERTO
514,749,2026-01-26,-,Abierto
515,7931,2025/04/19, 7142.51 ,ABIERTO
516,18551,01-03-2025,"3,577.31",
517,19123,24/02/2026,-,Rechazado
518,5192,14/03/2025,-,Cerrado
519,2775,20/09/2025,11906.59,Abierto
520,17065,01-19-26,"8.464,37",ABIERTO
521,2027,21/08/2025,"2,008.92",ABIERTO
522,8459,2025-09-24, 5956.22 ,ABIERTO
523,2414,10-08-2025,13565.60,ABIERTO
524,3266,19/04/2025,,ABIERTO
525,9683,01/06/2025,"4,540.67",Cerrado
526,6685,27/01/2026,"965,71",Cerrado
527,17205,2025-06-03,12224.81,Cerrado
528,21844,2026-01-16,"1,897.70",
529,1551,24/02/2026,"12.584,02",cerrado
530,19258,10-10-2025,14448.22,Abierto
531,16681,2025/10/21,,Cerrado
532,13554,17/02/2025,"10.457,23",Rechazado
533,1400,2026-02-17, 778.90 ,ABIERTO
534,13893,01-07-25,"2,203.47",Abierto
535,17558,11/05/2025,"775,73",Cerrado
536,1687,2025-11-28,"8,216.35",Abierto
537,10763,2025/01/29,"6,960.69",cerrado
538,16568,21-02-2026,"800,55",cerrado
539,15629,2025/02/04,"629,03",ABIERTO
540,24874,2025-10-25,6239.30,Rechazado
541,17082,25/04/2025, 12640.91 ,
542,13402,07-02-2025,"6,580.87",
543,22193,07-13-25,N/A,
544,13123,06/03/2025,"8.419,73",ABIERTO
545,14630,07/01/2025,965.14,cerrado
546,2269,13/03/2025,6320.76,cerrado
547,18971,06/12/2025,13821.43,ABIERTO
548,320,2025-07-13,"6.636,52",
549,10771,2026/01/19,"-9,024.61",ABIERTO
550,25667,2025/11/08,"3.598,00",ABIERTO
551,21438,05-07-25,"5,836.89",Abierto
552,2165,02/11/2025, 11024.33 ,cerrado
553,21888,2026/01/05,3112.17,Cerrado
554,25784,10-05-2025,,cerrado
555,17858,16-01-2025,"13,960.18",cerrado
556,6947,13/12/2025,,Abierto
557,6868,2025/06/30,"5.325,91",Cerrado
558,21780,05/10/2025,"10.753,61",Cerrado
559,24920,01-02-26,,
560,3151,2025-02-28,"-1,744.20",Abierto
561,8177,11/05/2025,3376.64,Cerrado
562,15715,28/01/2026,"4.479,51",Cerrado
563,18040,03-08-2025,"7.778,11",Rechazado
564,21307,2025/12/06, 11816.47 ,Rechazado
565,19612,2025/01/24,-,Rechazado
566,7229,10/09/2025,8102.59,Rechazado
567,21236,09-30-25,542.33,
568,7634,20/01/2025,-,
569,13976,08-12-2025,"11,416.44",
570,25508,2025-05-21,"9,919.76",Cerrado
571,354,2025/02/12,"11.624,30",Rechazado
572,8028,06-02-2026,"1,046.73",cerrado
573,5994,2026/01/25,"8.064,22",cerrado
574,21648,23-06-2025,-,Cerrado
575,17032,2025/09/23,"6.006,23",Cerrado
576,20005,2025/05/29,"3.660,61",Abierto
577,9416,2025-07-16,7281.78,Abierto
578,5441,05-05-2025,"6.542,30",Cerrado
579,6238,25-06-2025,"-676,22",Rechazado
580,21031,2025/08/22,"14.726,12",Abierto
581,17730,08-18-25,"6,180.21",
582,11973,27-11-2025,681.75,ABIERTO
583,15892,31/01/2025,"9.323,33",Rechazado
584,7265,05/07/2025,,
585,2185,2025/08/02,"14.347,09",cerrado
586,5064,01/01/2025,"3,427.67",Cerrado
587,22918,2025/10/26,"2,427.43",
588,9780,20/01/2025, 12340.44 ,ABIERTO
589,23761,04/02/2025,"1,722.65",cerrado
590,1390,2025/11/22,"5,100.16",cerrado
591,24753,29/12/2025,"9.243,95",ABIERTO
592,11961,10-12-25,8976.92,
593,25605,04/02/2025,"6,324.53",
594,24598,18/09/2025,"2,947.86",Rechazado
595,16802,2025-03-01,,cerrado
596,20730,01-21-25,-13047.91,Abierto
597,22326,09-16-25,"11,586.97",
598,15220,04-17-25,263.87,Rechazado
599,20491,16/01/2025,567.78,Cerrado
600,25582,28/09/2025, 13159.89 ,
601,12091,02-03-2025,N/A,Abierto
602,11450,10-07-2025, 5353.00 ,
603,17985,2025/07/24,14180.71,ABIERTO
604,1034,01-16-26, 7672.14 ,
605,24391,23/07/2025,-,Cerrado
606,9853,13-08-2025, 13270.26 ,
607,7941,01-15-26,"2,490.28",
608,24323,04-09-25,5670.57,Abierto
609,13678,2025-03-23,5395.55,Abierto
610,22850,06-10-25,11563.14,Abierto
611,17162,15/02/2026,-,Abierto
612,3316,13/08/2025,N/A,
613,22432,2025/08/03,"11,453.70",Abierto
614,9264,09-09-2025, 1692.12 ,ABIERTO
615,11298,2025/11/14,"9,282.91",Rechazado
616,6056,12-08-25, 5153.30 ,Abierto
617,17670,03-02-2025,,Rechazado
618,1023,2025/02/02,,Rechazado
619,3397,12/03/2025,"10,501.36",Abierto
620,17258,14-10-2025,"2.924,44",cerrado
621,2841,2025/01/11,5695.40,
622,1623,2026/01/02,"8.782,83",
623,10760,2025-03-09,14910.95,
624,11022,2025/06/30,"13.436,62",Cerrado
625,24203,21-06-2025,-,Rechazado
626,22538,2025-08-05,"4,677.56",ABIERTO
627,471,09/01/2025, 6150.14 ,Rechazado
628,23681,2026/01/27,N/A,
629,9818,08-11-2025,,ABIERTO
630,1708,13-02-2026,"11.486,29",
631,3214,2025-07-24,"14,084.12",Rechazado
632,14193,21-08-2025, 2506.71 ,
