id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
177,2025-03-22,355,72,14,1,"1,123.67",N/A,"56.048,07"
178,2026-01-04,833,71,4,10,1310.85,160.19, 41123.88 
179,05-01-2025,2432,3,8,1,,240.54,260639.14
180,13-09-2025,2894,5,10,9,507.43,N/A,"64.390,94"
181,31/01/2025,1945,37,11,5,, 210.72 ,N/A
182,,1953,74,6,1, 1725.25 ,,94698.24
183,21-04-2025,513,50,11,5,"723,36",174.04, 62801.44 
184,27-04-2025,1373,12,7,9,-,128.95,49518.48
185,2026/01/04,1468,27,7,12,"1.852,09", 243.81 ,"347,316.23"
186,31/01/2026,2129,30,8,3,"1,795.66", 388.90 ,298913.70
187,04/01/2025,2226,75,5,3,1327.21,-,"240,624.13"
188,2025-10-01,1151,47,7,11,-,"102,66",130925.71
189,02/09/2025,1725,74,11,7,1103.69,"252,45", 151711.76 
190,2025/12/07,2854,70,13,4, 953.96 ,-,"93.787,36"
191,2025/11/12,837,34,12,3,"1,076.04",173.48,144639.86
192,2025-12-22,1525,3,4,3,234.48,"35,63",36663.52
193,2025-07-22,1786,56,15,12,"1.316,23",-,N/A
194,07/05/2025,583,72,10,6,1462.11,"99,14","221.551,14"
195,2025-10-17,1641,31,15,11,911.44,-,"129.241,82"
196,2025-06-14,1172,54,6,7,1568.46,283.24, 87378.20 
197,15/04/2025,1558,49,4,11,"1.498,66",N/A,"228.469,92"
198,2025-10-16,876,77,2,7, 1351.69 ,68.96,"50,400.30"
199,07-31-25,1268,39,15,8,1558.42, 251.72 , 191348.34 
200,2026/02/12,239,79,11,1,1218.97,181.78,"225.902,31"
201,29-06-2025,2011,32,12,5,,"209,81","147,542.55"
202,2025-09-14,2346,4,11,6,-,-,"159,867.32"
203,16/08/2025,1121,32,14,5,741.78,127.03,-
204,2025/11/27,2424,50,5,7,"1.614,32",388.18,80347.81
205,06-04-2025,419,46,7,1, 1653.96 ,249.55,"51.983,28"
206,28/10/2025,241,28,8,7,556.14,"58,53",54199.33
207,2026-01-22,974,74,14,11,839.87,"94,57",69882.74
208,2025-06-10,3614,78,4,4,472.52,36.01,N/A
209,2026/02/07,1974,25,13,9,72.55,"18,01",
210,2025-07-17,2680,12,10,5,,,N/A
211,30/09/2025,1795,11,9,7,-,"237,61",171128.94
212,09/09/2025,2876,13,10,7,213.27,N/A,12711.02
213,07-12-2025,214,28,8,11, 192.43 ,45.37,21029.68
214,12-20-25,743,54,13,12, 306.05 ,17.31,"18,766.83"
215,2025/02/26,483,71,7,1,,104.78,58056.65
216,04-04-25,1330,46,10,12,N/A,-,-
217,2025-11-06,432,3,15,10,1422.59,251.31,174594.04
218,2025-04-22,3630,1,9,2,-,88.01,N/A
219,02-22-25,1052,5,13,9,, 176.78 ,"205,287.05"
220,21/12/2025,1871,34,6,7,N/A,144.19,"127.817,41"
221,2025/03/15,2725,80,11,1,"616,19", 75.06 , 115464.32 
222,2026-01-21,1600,78,2,10, 1622.52 ,"144,49", 60407.59 
223,23-09-2025,1312,75,15,1,312.76,N/A, 44896.28 
224,2025-01-05,777,40,10,9,298.58, 63.17 ,"27.470,47"
225,13/07/2025,645,64,12,8,"1.651,96",180.18,"80.061,70"
226,2025-04-02,832,44,3,6, 1664.22 ,213.11,43423.44
227,07-05-25,232,44,13,3, 66.10 ,8.06,"10.033,13"
228,11-10-25,2555,30,5,11,341.36,395.85,"51.411,63"
229,24-12-2025,2625,10,5,1, 1624.52 ,-,"263,502.43"
230,2025/12/19,1245,6,13,3,238.50,,44718.94
231,01-22-25,2790,73,7,3,"1.729,95",N/A, 161771.05 
232,05-25-25,1421,17,7,4,"1.546,13","170,23","176,385.79"
233,,2619,42,4,6,"277,67","63,81","54.034,44"
234,28/04/2025,2270,68,3,9,-, 157.51 ,"380.748,51"
235,,2895,65,8,2,N/A,,193621.53
236,2025-07-10,2906,18,7,3,235.80,42.67, 25121.58 
237,2025/02/11,1137,37,6,3,N/A,268.64,106698.49
238,2025-12-16,1485,30,4,4,"1,779.97","368,63","334,475.30"
239,2025-05-31,1236,77,10,8, 760.38 ,N/A,111154.53
240,,536,15,6,10,,180.09,"79,238.61"
241,03-02-25,657,22,3,4,, 199.83 ,N/A
242,08-06-2025,1884,61,12,8, 548.88 ,77.84,"32,829.84"
243,2025/10/09,634,16,14,3,"1,585.52", 283.81 ,N/A
244,26-01-2026,1804,18,7,5,,133.24, 81691.01 
245,07-25-25,2704,51,1,5,-,274.71,41044.61
246,24-09-2025,2695,40,14,7,735.39,"59,42",-
247,01-07-26,924,49,5,11,N/A,131.17,274013.46
248,15-11-2025,1011,64,10,4, 1846.72 ,N/A, 320537.24 
249,07/09/2025,1500,73,4,6,,-,N/A
250,2025-04-02,1771,63,14,3,424.38,72.81,
251,2025-06-21,1262,68,1,5,601.96,120.32,N/A
252,,1575,33,14,8, 1422.87 ,76.42,-
253,14/01/2025,1563,59,10,10, 792.74 ,145.28, 71091.98 
254,06-06-25,917,23,1,6,"1.042,39", 132.79 ,
255,22-03-2025,2003,60,1,2,275.48,N/A,N/A
256,07-28-25,2083,71,12,9,N/A, 326.26 ,N/A
257,04-19-25,2855,25,14,7,N/A,"132,40","17.045,13"
258,09-23-25,1821,50,7,10, 555.60 ,"92,60","37.621,89"
259,11-28-25,148,17,5,1,"1,560.57",N/A,"170.301,72"
260,2025/01/14,971,57,13,6,"595,33", 132.98 ,
261,06-04-2025,2956,78,2,4,843.81,106.28,"165.119,46"
262,02-14-25,1441,1,12,7,,N/A,N/A
263,16/04/2025,828,38,15,7,961.19,172.58, 65328.26 
264,2025-04-11,2337,80,8,5,267.35,45.16, 43006.11 
265,12-08-2025,184,62,13,9,264.84,,"20,928.09"
266,2025-01-12,1750,12,5,5,"469,18",53.62, 82199.39 
267,2025-01-17,761,60,1,12,836.80,,"67,062.51"
268,,1635,13,14,4,1161.47,87.66,"126,085.89"
269,09-13-25,1685,65,8,1,0.00,132.50, 112445.07 
270,17/05/2025,168,64,1,8,"1.079,04",N/A, 153797.15 
271,2025-04-20,1773,43,11,5, 1395.69 ,-,"101,033.61"
272,,2717,50,13,5,"529,12",126.80,-
273,12-04-25,2346,41,12,10,470.44, 42.33 ,-
274,04/02/2026,222,16,12,6,359.96,,"49,248.02"
275,03/07/2025,1637,46,5,1, 1958.02 ,109.40,"249,654.56"
276,2025-01-14,482,19,14,11, 1238.05 ,,149205.72
277,2025/06/04,2165,16,13,12,"113,44", 11.06 , 22028.53 
278,2025-11-04,1832,27,10,9,, 150.96 ,"319,716.88"
279,14-12-2025,770,66,14,3, 901.35 ,-,39362.62
280,2025/06/22,1387,76,1,4, 154.59 , 23.60 ,19097.08
281,12/12/2025,1387,2,14,12,"1.536,30","234,29", 108632.52 
282,31/12/2025,1190,6,4,6,"102,19","24,17",-
283,,254,65,13,12,"311,50","25,08",
284,09-07-2025,1163,16,3,4,1052.91,"83,89","75.727,87"
285,2025/07/06,2457,37,9,5,"1.159,92", 229.02 , 119625.01 
286,03-02-25,631,43,6,10,480.94,110.77,"90,139.34"
287,2025-09-09,605,62,7,6,434.82,"27,20","30.848,23"
288,2025/07/06,1378,72,4,5,738.72,128.90,"59.480,36"
289,2026-02-11,2696,62,12,7,N/A,52.21,"143.989,06"
290,13-04-2025,326,61,2,6,N/A,339.80,-
291,05-05-25,281,54,1,9,,,132725.63
292,,1514,27,3,1, 365.44 ,39.10, 9478.09 
293,2025/10/28,175,24,15,1,,N/A,"158.807,40"
294,08-19-25,2129,13,13,7,-,212.49,"100,787.99"
295,31/05/2025,764,52,7,5, 987.43 ,N/A, 164812.90 
296,03-05-2025,1812,77,13,11,N/A,47.20,"99.611,28"
297,05-12-25,1573,79,4,10,1252.38,146.52, 45753.53 
298,2026-02-10,2390,2,14,9,,396.87,
299,05-05-2025,2724,18,5,7,1142.36,88.50,N/A
300,09-09-2025,1233,67,6,8, 1027.81 ,"61,97", 69674.38 
301,09-15-25,1579,72,11,1,N/A,18.74, 4988.88 
302,2025-04-25,679,60,1,6,N/A, 86.07 ,"83.621,21"
303,08-22-25,2931,13,14,6, 317.71 ,"31,74",11090.61
304,01-05-2025,917,41,15,9, 673.03 , 106.80 ,"89,286.47"
305,2025-04-06,2007,76,12,12, 142.86 ,161.20,8185.49
306,2025/07/06,619,17,10,2,,"129,63","196,786.22"
307,2025-08-31,78,24,6,10, 1259.85 , 87.10 ,"50.836,92"
308,05/03/2025,905,6,7,2, 71.14 ,14.24,"12.910,64"
309,2025-08-17,980,20,1,5,529.37,91.01,"52,844.12"
310,2025-07-25,355,53,6,6,"1,044.88", 139.70 , 48271.62 
311,18-01-2026,236,19,8,12,662.47, 34.15 ,
312,13/06/2025,1894,10,13,2,"1.944,37",129.58,
313,2026-01-25,2852,30,1,11, 1736.83 ,N/A,"122,859.35"
314,2025-03-16,444,68,4,1,,28.88,48398.37
315,05/06/2025,282,9,6,12,644.32, 97.22 ,"103,239.66"
316,01-27-26,3776,1,6,8,"1,431.90", 177.07 , 106644.92 
317,2025/01/17,2621,19,2,8,70.91,17.25,-
318,,380,58,11,9,779.52,,79294.65
319,2026-01-26,2874,9,1,11, 726.96 ,, 122532.96 
320,,2637,64,1,9,"1.224,21",261.15,"183.732,97"
321,10-20-25,830,48,8,1, 1344.70 ,"1,724.81","266,633.14"
322,2025/08/19,454,75,11,3, 850.81 ,,166822.37
323,14/01/2025,2484,29,7,1,"1,195.89", 76.06 , 83832.92 
324,12-08-25,689,68,1,6,N/A,391.80, 260739.67 
325,09-17-25,531,13,2,10,N/A, 126.53 ,-
326,27-02-2025,2429,22,3,1,"740,50",-,
327,2025/06/30,184,7,8,6,256.39,36.77, 17389.16 
328,01-08-26,2035,34,9,8,N/A,201.21,
329,07-10-25,1584,78,10,10, 965.87 ,,"80,283.34"
330,2025/07/15,2011,15,10,2, 1158.76 ,,143147.74
331,2025-06-14,2628,51,9,3,"1,055.42",-,"169.845,49"
332,02-02-2026,2249,63,5,8,"1,033.15",,"124,531.25"
333,12-03-2025,2372,29,2,8,"1.307,34",198.89,"105.131,68"
334,16/06/2025,1976,64,12,8,"1.572,90",255.61,-
335,09-02-2025,282,43,8,6,-,"18,72", 20333.48 
336,2025/11/26,1444,54,3,10,"550,34","49,47",20954.52
337,2025/07/24,3574,35,4,10, 1304.27 ,"136,32",
338,2025/06/28,1141,75,3,2,1845.60,92.80,"319,554.79"
339,26-01-2026,2571,76,4,6,924.18,222.40,"53.440,43"
340,08-23-25,1514,51,1,11,"230,39","56,57", 21695.02 
341,2025-03-25,14,23,2,4, 716.28 ,71.72,"64.529,32"
342,2025-04-28,1132,50,7,1,"1,840.74",-,343602.22
343,,1809,74,13,6,261.29,"22,99",11502.80
344,2025-09-07,1385,52,2,7,"1,053.46",243.44,"85,054.56"
345,2025/08/11,1606,47,12,1,323.93, 38.26 ,
346,2025-12-08,1529,61,9,3,"1.153,35",220.03,-
347,08/11/2025,1108,65,2,5,,"13,60","9,304.45"
348,07-31-25,1317,20,1,2,"1.666,25", 356.84 ,-
349,20-09-2025,2133,51,7,6,"1.267,27",, 182975.67 
350,09/06/2025,1119,74,2,6,423.21,33.82,"17.124,02"
351,07-26-25,2186,22,15,4, 615.15 ,97.58, 115731.56 
352,2025-09-02,335,32,13,3, 69.55 , 5.42 , 4481.90 
353,16-01-2025,1274,18,10,12, 435.91 ,"108,35",81976.35
354,2025-10-04,2871,64,8,3,"196,33",27.44,15872.78
355,2025-12-19,2758,77,12,8, 1934.73 ,-,"316,696.31"
356,2025/10/31,729,63,14,7,"1,517.29",-,"224,140.06"
357,15/07/2025,2655,25,11,11,374.50,"81,21", 44517.01 
358,31/01/2026,2665,30,2,9,"1.247,68",154.02,"77.789,90"
359,12-29-25,3785,8,6,1,N/A,-,N/A
360,2025/04/12,3666,59,7,9,"861,49",N/A,"36.651,44"
361,05-23-25,702,21,15,6,1186.26,N/A,"65,607.30"
362,04-12-2025,2822,46,2,12,"1,422.80", 332.01 ,"35.091,58"
363,11-01-2026,2480,2,14,6,N/A,148.66,"160,600.88"
364,14/12/2025,707,28,11,9,"268,47","41,13", 26697.38 
365,15/01/2026,2794,41,15,3,1910.72,141.40,"348.837,15"
366,,844,31,2,1,"1.992,81",300.46,97957.19
367,01/05/2025,2182,13,9,1,"524,74",70.05,"62.174,08"
368,13/01/2025,2229,12,8,1,312.70,"32,01",-
369,2025-10-21,1959,2,4,11,300.30, 16.25 ,"16.152,36"
370,02-03-25,185,3,5,7,53.79,2.82, 3905.87 
371,2026-01-25,602,17,11,4,-,-,N/A
372,2026/01/02,2269,59,8,7,,-,"84,920.53"
373,,1870,21,1,5,1038.02, 98.58 ,"72,125.71"
374,2025-05-24,465,69,9,11,"109,71", 26.59 ,"13.623,02"
375,09-19-25,1358,80,4,10,,63.40,
376,,3527,73,6,5,110.64,"14,62","12,500.24"
377,2025-08-23,2290,36,3,1, 1389.23 ,-,-
378,,1868,60,12,9,1755.33,276.66,288662.01
379,22-08-2025,573,2,15,5,"92,25", 18.56 ,-
380,08-01-2025,1145,13,15,1,"1,907.50","471,37","227.662,64"
381,09-12-25,243,34,10,9, 858.13 ,57.01,"141.537,21"
382,12-04-25,1204,29,13,1,-,73.38,"163,339.83"
383,24-11-2025,234,34,13,4,,"73,81", 108825.24 
384,01-12-25,1158,68,2,2,"1.861,73", 346.31 ,"57.069,12"
385,19/02/2025,2090,16,3,8,"766,05", 50.66 , 127959.71 
386,2025-06-01,117,43,4,7,,21.80,43701.61
387,07-14-25,48,63,2,4,"1,487.16", 267.57 , 84325.70 
388,2025/12/01,1001,47,14,4,-,N/A,"87.870,06"
389,12/01/2026,581,53,13,12, 216.28 ,,N/A
390,31/01/2025,2187,14,5,10,"1.182,03",,"89,798.89"
391,2025-12-09,2575,43,15,11,-, 59.01 ,"30,926.40"
392,07-04-25,1062,38,15,3,,79.40,"109.425,04"
393,07-08-2025,1157,7,1,7,"66,98","10,96","11,874.36"
394,09-12-25,1895,76,4,9,735.69, 132.66 ,"53,150.39"
395,07-04-25,1038,46,12,4, 1225.95 ,71.97, 191272.59 
396,10-16-25,588,51,3,6,1353.44,309.33,N/A
397,07-05-2025,2761,77,9,9,N/A,N/A,"26.510,38"
398,2025-06-22,1255,78,12,12, 1796.91 ,"345,46","150,449.96"
399,13/08/2025,2988,14,9,4, 308.81 , 24.40 ,44128.80
400,25-08-2025,1674,35,12,1,"1,544.57",,42133.22
401,01-09-25,1435,1,3,12,"1,745.43",-,"260,632.03"
402,15/08/2025,1721,63,8,5,405.99, 71.04 ,
403,11-08-25,1714,75,3,2,N/A,-, 45428.93 
404,2026-02-09,1407,28,14,8,N/A,42.22,19368.57
405,07/12/2025,2328,47,1,8,"1.264,26",275.94,"131.575,43"
406,2025/09/22,1393,7,15,3,1384.51,194.90,
407,30/08/2025,618,23,1,9,"1,327.66",-,"234.801,96"
408,19-10-2025,1694,5,3,4,"458,92", 97.55 ,
409,04-12-25,686,26,1,9,-1075.26,65.95,105494.60
410,,1818,66,11,9,N/A,,"98.744,66"
411,,177,38,10,8,393.15,,"37.040,34"
412,28-01-2026,2826,18,1,5,"1,596.80",373.29, 219135.53 
413,17-07-2025,1069,25,15,5, 1229.31 ,"110,93",151597.25
414,2025/08/15,2278,72,11,12,867.96,132.06,147649.90
415,07-22-25,2645,56,8,11,344.91, 46.82 , 65854.06 
416,,297,21,5,10,"464,88",101.67, 45376.39 
417,2025/10/07,60,35,8,1,620.81, 90.95 ,
418,,206,29,11,12,360.12,86.63,"69,683.94"
419,03-01-2025,111,71,13,6, 942.78 ,142.54,116621.23
420,,2211,1,15,6,"1.837,90",390.08,"107,175.91"
421,23-11-2025,1662,44,11,4,293.77, 44.98 ,28807.95
422,2025/08/07,181,4,8,5,1880.35, 131.37 ,"131.698,52"
423,2025-05-26,807,50,9,8,"210,77", 41.24 , 35549.86 
424,2026-02-14,1234,1,12,6,"547,19",68.36, 60347.81 
425,2025-09-17,1481,30,11,2,538.85,105.16,"69,395.89"
426,2026-01-01,897,74,14,10,"1,677.27",259.69,287389.71
427,29-05-2025,2943,35,9,5, 1849.84 , 222.39 ,187959.06
428,01-06-2025,1293,54,9,10, 1683.76 ,"278,40", 304002.46 
